index,last index,commit hash,parent hash,extract type,commit text,new class,new class path,origin class,origin class path,extract entities,removed entities,split number,data path,url
32,740,2e148cf352cf481ba41ab079a4d81ae5564f70b5,a3a1d4f8c798bd723d7f2f4751f41bb52a5ada12,extractClass,UX-396# durationInMillis added to node details object. ,io.jenkins.blueocean.service.embedded.PipelineNodeTest ,io/jenkins/blueocean/service/embedded/PipelineNodeTest.java ,io.jenkins.blueocean.service.embedded.PipelineApiTest,io/jenkins/blueocean/service/embedded/PipelineApiTest.java,getPipelineJobRunNodesTestWithFuture() getPipelineJobRunNodeLogTest() getStages(FlowGraphTable) nodesTest() getParallelNodes(FlowGraphTable) getPipelineJobRunNodeTest() getPipelineJobRunNodesTest() getPipelineJobRunNodesWithFailureTest(),getPipelineJobRunNodesTestWithFuture() getPipelineJobRunNodeLogTest() getStages(FlowGraphTable) nodesTest() getParallelNodes(FlowGraphTable) getPipelineJobRunNodeTest() getPipelineJobRunNodesTest() getPipelineJobRunNodesWithFailureTest(),1,god_class_refactor_examples/740+jenkinsci_blueocean-plugin+2e148+PipelineApiTest+PipelineNodeTest.csv,https://github.com/jenkinsci/blueocean-plugin/commit/2e148cf352cf481ba41ab079a4d81ae5564f70b5
33,761,6cf1b57e002b20c11519c2af02783606c97c3998,33e6574387aa6eede9b2b5f2787b4b82db534102,extractClass,"Added VREnvironment class that gather the system related VR objetcs. This VREnvironment is independent from the JMonkey stuff and enables to check and initialize VR specific capabilities before initializing VRAppState.  The procedure is now to initialize a VR environment and, if the initialization is ok, to attach a VRAppstate to the main application.  Some class has been refactored:  - System classes are within the com.jme3.system package - VR related utility classes are in the package com.jme3.util.  ",com.jme3.app.VREnvironment ,com/jme3/app/VREnvironment.java ,com.jme3.app.VRAppState,com/jme3/app/VRAppState.java,resetSeatedPose() seated getCamera() setSeatedExperience(boolean) useCompositor dummyCam disableSwapBuffers defaultAspect guiManager setVRHeightAdjustment(float) isVRSupported() setDefaultAspect(float) isSeatedExperience() hasTraditionalGUIOverlay() defaultFOV viewmanager vrBinding forceVR setDefaultFOV(float) compositorOS getDefaultAspect() nogui getVRHeightAdjustment() mouseManager getDefaultFOV() observer,resetSeatedPose() seated getCamera() setSeatedExperience(boolean) useCompositor dummyCam disableSwapBuffers defaultAspect guiManager setVRHeightAdjustment(float) isVRSupported() setDefaultAspect(float) isSeatedExperience() hasTraditionalGUIOverlay() defaultFOV viewmanager vrBinding forceVR setDefaultFOV(float) compositorOS getDefaultAspect() nogui getVRHeightAdjustment() mouseManager getDefaultFOV() observer,1,god_class_refactor_examples/761+jMonkeyEngine_jmonkeyengine+6cf1b+VRAppState+VREnvironment.csv,https://github.com/jMonkeyEngine/jmonkeyengine/commit/6cf1b57e002b20c11519c2af02783606c97c3998
34,780,5b95f8a4b0e70a9ef5839be199f5274a94247f02,389b117fb64388724f9e25a18bac3ff8ee008fae,extractClass,"GLRenderer: Improve compatibility with OpenGL 3.2 core profile  * Separate GLFbo and GLExt implementations. GLFbo can now be implemented either via vanilla OpenGL3 calls or GL_EXT_framebuffer_*** extensions (OpenGL2.1- only).  * Use modern way of getting supported extensions in core profile.  * Luminance and Alpha formats are not available when running in core profile.  * Bind a dummy vertex array object (VAO) when running in core profile.  * Point sprite mode is always enabled. Since both OpenGL ES 2.0 and OpenGL 3.2 core require it, jME3 is no longer capable of rendering regular points. ",com.jme3.renderer.lwjgl.LwjglGLFboEXT ,com/jme3/renderer/lwjgl/LwjglGLFboEXT.java ,com.jme3.renderer.lwjgl.LwjglGLExt,com/jme3/renderer/lwjgl/LwjglGLExt.java,"glBindRenderbufferEXT(int,int) glGenRenderbuffersEXT(IntBuffer) glBindFramebufferEXT(int,int) glFramebufferTexture2DEXT(int,int,int,int,int) glDeleteFramebuffersEXT(IntBuffer) glGenFramebuffersEXT(IntBuffer) glRenderbufferStorageEXT(int,int,int,int) glGenerateMipmapEXT(int) glRenderbufferStorageMultisampleEXT(int,int,int,int,int) glDeleteRenderbuffersEXT(IntBuffer) glFramebufferRenderbufferEXT(int,int,int,int) glBlitFramebufferEXT(int,int,int,int,int,int,int,int,int,int) glCheckFramebufferStatusEXT(int)","glBindRenderbufferEXT(int,int) glGenRenderbuffersEXT(IntBuffer) glBindFramebufferEXT(int,int) glFramebufferTexture2DEXT(int,int,int,int,int) glDeleteFramebuffersEXT(IntBuffer) glGenFramebuffersEXT(IntBuffer) glRenderbufferStorageEXT(int,int,int,int) glGenerateMipmapEXT(int) glRenderbufferStorageMultisampleEXT(int,int,int,int,int) glDeleteRenderbuffersEXT(IntBuffer) glFramebufferRenderbufferEXT(int,int,int,int) glBlitFramebufferEXT(int,int,int,int,int,int,int,int,int,int) glCheckFramebufferStatusEXT(int)",1,god_class_refactor_examples/780+jMonkeyEngine_jmonkeyengine+5b95f+LwjglGLExt+LwjglGLFboEXT.csv,https://github.com/jMonkeyEngine/jmonkeyengine/commit/5b95f8a4b0e70a9ef5839be199f5274a94247f02
35,864,56d3a2dbce8484ad2f9d7ed897bc453b36879927,373bba9e98bc2819c88be37dfe03664986bfd5bf,extractClass,First steps for folder support. ,com.kabouzeid.gramophone.ui.fragments.LibraryFragment ,com/kabouzeid/gramophone/ui/fragments/LibraryFragment.java ,com.kabouzeid.gramophone.ui.activities.MainActivity,com/kabouzeid/gramophone/ui/activities/MainActivity.java,"removeOnAppBarOffsetChangedListener(OnOffsetChangedListener) pager appbar pagerAdapter isPlaylistPage() setUpToolbar() toolbar getCurrentFragment() tabs onCreateOptionsMenu(Menu) openCab(int,MaterialCab.Callback) addOnAppBarOffsetChangedListener(OnOffsetChangedListener) setUpViewPager() cab setUpGridSizeMenu(AbsMainActivityRecyclerViewCustomGridSizeFragment,SubMenu) getTotalAppBarScrollingRange() handleGridSizeMenuItem(AbsMainActivityRecyclerViewCustomGridSizeFragment,MenuItem)","removeOnAppBarOffsetChangedListener(OnOffsetChangedListener) pager appbar pagerAdapter isPlaylistPage() setUpToolbar() toolbar getCurrentFragment() tabs onCreateOptionsMenu(Menu) openCab(int,MaterialCab.Callback) addOnAppBarOffsetChangedListener(OnOffsetChangedListener) setUpViewPager() cab setUpGridSizeMenu(AbsMainActivityRecyclerViewCustomGridSizeFragment,SubMenu) getTotalAppBarScrollingRange() handleGridSizeMenuItem(AbsMainActivityRecyclerViewCustomGridSizeFragment,MenuItem)",1,god_class_refactor_examples/864+kabouzeid_Phonograph+56d3a+MainActivity+LibraryFragment.csv,https://github.com/kabouzeid/Phonograph/commit/56d3a2dbce8484ad2f9d7ed897bc453b36879927
36,867,e709455fb1f843d7d378918478c554943c2bcd2a,ca23018b9d0c9c9b3bf46903b4947ebfc11f6b69,extractSuperclass,"Moved some stuff from the PlayerFragment into a abstract super class, as we want to add more PlayerFragments in future. ",com.kabouzeid.gramophone.ui.fragments.player.AbsPlayerFragment ,com/kabouzeid/gramophone/ui/fragments/player/AbsPlayerFragment.java ,com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment,com/kabouzeid/gramophone/ui/fragments/player/PlayerFragment.java,onShuffleModeChanged() activity onMediaStoreChanged() onRepeatModeChanged() callbacks onDetach() onCreate(Bundle) onAttach(Context) onPlayStateChanged(),onShuffleModeChanged() activity onMediaStoreChanged() onRepeatModeChanged() callbacks onDetach() onCreate(Bundle) onAttach(Context) onPlayStateChanged(),1,god_class_refactor_examples/867+kabouzeid_Phonograph+e7094+PlayerFragment+AbsPlayerFragment.csv,https://github.com/kabouzeid/Phonograph/commit/e709455fb1f843d7d378918478c554943c2bcd2a
37,868,79c50ce42e30918158ab2a4fa61f9e4927c32783,c7c0ae3931179ebb0a40241e8d55cb62184ecfa8,extractClass,Divided the player fragment into sub fragments. WIP! ,com.kabouzeid.gramophone.ui.fragments.PlaybackControlsFragment com.kabouzeid.gramophone.ui.fragments.PlayerAlbumCoverFragment ,com/kabouzeid/gramophone/ui/fragments/PlaybackControlsFragment.java com/kabouzeid/gramophone/ui/fragments/PlayerAlbumCoverFragment.java ,com.kabouzeid.gramophone.ui.fragments.PlayerFragment,com/kabouzeid/gramophone/ui/fragments/PlayerFragment.java,setUpPlaybackControllerCard() albumArtFrame lastFooterColor setUpMusicControllers() setUpShuffleButton() setUpPrevNext() mediaControllerContainerBackground updatePlayPauseDrawableState(boolean) adjustTitleBoxSize() playPauseFab nextButton playerFabPlayPauseDrawable favoriteIcon lastTitleTextColor onPlayStateChanged() shuffleButton forceSquareAlbumArt setUpPlayPauseFab() setUpPlayerPlayPauseFabTint() FAB_CIRCULAR_REVEAL_ANIMATION_TIME onRepeatModeChanged() songText updateMetaTexts() prevButton setUpAlbumArtAndApplyPalette() mediaControllerContainer updateShuffleState() lastCaptionTextColor onShuffleModeChanged() playbackControllerCard setUpRepeatButton() footer repeatButton ensureActivatedColorVisibleIfNecessary(int) getActivatedIconColor() animateSetFavorite() updateRepeatState() albumArt songTitle getDeactivatedIconColor(),setUpPlaybackControllerCard() albumArtFrame lastFooterColor setUpMusicControllers() setUpShuffleButton() setUpPrevNext() mediaControllerContainerBackground updatePlayPauseDrawableState(boolean) adjustTitleBoxSize() playPauseFab nextButton playerFabPlayPauseDrawable favoriteIcon lastTitleTextColor onPlayStateChanged() shuffleButton forceSquareAlbumArt setUpPlayPauseFab() setUpPlayerPlayPauseFabTint() FAB_CIRCULAR_REVEAL_ANIMATION_TIME onRepeatModeChanged() songText updateMetaTexts() prevButton setUpAlbumArtAndApplyPalette() mediaControllerContainer updateShuffleState() lastCaptionTextColor onShuffleModeChanged() playbackControllerCard setUpRepeatButton() footer repeatButton ensureActivatedColorVisibleIfNecessary(int) getActivatedIconColor() animateSetFavorite() updateRepeatState() albumArt songTitle getDeactivatedIconColor(),2,god_class_refactor_examples/868+kabouzeid_Phonograph+79c50+PlayerFragment+PlayerAlbumCoverFragment.csv,https://github.com/kabouzeid/Phonograph/commit/79c50ce42e30918158ab2a4fa61f9e4927c32783
38,877,c67382c20e762d22d768ce587b5b448812bc5457,78b8b59309c08fad13685e0b182ab8ade1a10e8e,extractSuperclass,Separate the http router from the http server. Add helper functions for self signed https server. AsyncHttpServer.send now posts onto the AsyncServer thread. ,com.koushikdutta.async.http.server.AsyncHttpServerRouter ,com/koushikdutta/async/http/server/AsyncHttpServerRouter.java ,com.koushikdutta.async.http.server.AsyncHttpServer,com/koushikdutta/async/http/server/AsyncHttpServer.java,"mContentTypes removeAction(String,String) addAction(String,String,HttpServerRequestCallback) directory(String,File) websocket(String,String,WebSocketRequestCallback) websocket(String,WebSocketRequestCallback) tryGetContentType(String) directory(String,File,boolean) post(String,HttpServerRequestCallback) directory(Context,String,String) get(String,HttpServerRequestCallback) getAssetStream(Context,String) getMatcher() getContentType(String)","mContentTypes removeAction(String,String) addAction(String,String,HttpServerRequestCallback) directory(String,File) websocket(String,String,WebSocketRequestCallback) websocket(String,WebSocketRequestCallback) tryGetContentType(String) directory(String,File,boolean) post(String,HttpServerRequestCallback) directory(Context,String,String) get(String,HttpServerRequestCallback) getAssetStream(Context,String) getMatcher() getContentType(String)",1,god_class_refactor_examples/877+koush_AndroidAsync+c6738+AsyncHttpServer+AsyncHttpServerRouter.csv,https://github.com/koush/AndroidAsync/commit/c67382c20e762d22d768ce587b5b448812bc5457
39,885,fbfd617411cfaa802269f2b925c54dd11dc0a531,df873d62682b26fcec2461017fe5a4fed503077d,extractClass,"Move the implementation of HttpRequest into a wrapper class, as it interferes with the Fluent API. ",com.koushikdutta.async.http.HttpRequestWrapper ,com/koushikdutta/async/http/HttpRequestWrapper.java ,com.koushikdutta.async.http.AsyncHttpRequest,com/koushikdutta/async/http/AsyncHttpRequest.java,headerIterator() removeHeaders(String) setHeader(Header) getAllHeaders() setHeaders(Header[]) getProtocolVersion() getHeaders(String) params setParams(HttpParams) containsHeader(String) getLastHeader(String) removeHeader(Header) getParams() headerIterator(String) getFirstHeader(String),headerIterator() removeHeaders(String) setHeader(Header) getAllHeaders() setHeaders(Header[]) getProtocolVersion() getHeaders(String) params setParams(HttpParams) containsHeader(String) getLastHeader(String) removeHeader(Header) getParams() headerIterator(String) getFirstHeader(String),1,god_class_refactor_examples/885+koush_AndroidAsync+fbfd6+AsyncHttpRequest+HttpRequestWrapper.csv,https://github.com/koush/AndroidAsync/commit/fbfd617411cfaa802269f2b925c54dd11dc0a531
40,962,50e06ab9ebde7c15fb4bef386f1481f647252eef,38d2ed14e876bd972d0e6c5948163902fdd37eff,extractSuperclass,Support for deprecated and new annotation ,net.javacrumbs.shedlock.spring.internal.AbstractSpringLockConfigurationExtractorTest ,net/javacrumbs/shedlock/spring/internal/AbstractSpringLockConfigurationExtractorTest.java ,net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest,net/javacrumbs/shedlock/spring/internal/SpringLockConfigurationExtractorTest.java,doTestFindAnnotationOnProxy(Class<?>) shouldExtractComposedAnnotation() DEFAULT_LOCK_AT_LEAST_FOR shouldLockTimeFromAnnotation() shouldGetZeroGracePeriodFromAnnotation() shouldNotLockUnannotatedMethod() shouldLockTimeFromAnnotationWithString() shouldGetNameFromSpringVariable() shouldLockForDefaultTimeIfNoAnnotation() shouldLockTimeFromAnnotationWithDurationString() shouldGetNameAndLockTimeFromAnnotation() getAnnotation(String) extractor DEFAULT_LOCK_TIME shouldGetPositiveGracePeriodFromAnnotation() shouldFindAnnotationOnSubclassProxy() shouldFindAnnotationOnDynamicProxy() shouldGetPositiveGracePeriodFromAnnotationWithString() embeddedValueResolver,doTestFindAnnotationOnProxy(Class<?>) shouldExtractComposedAnnotation() DEFAULT_LOCK_AT_LEAST_FOR shouldLockTimeFromAnnotation() shouldGetZeroGracePeriodFromAnnotation() shouldNotLockUnannotatedMethod() shouldLockTimeFromAnnotationWithString() shouldGetNameFromSpringVariable() shouldLockForDefaultTimeIfNoAnnotation() shouldLockTimeFromAnnotationWithDurationString() shouldGetNameAndLockTimeFromAnnotation() getAnnotation(String) extractor DEFAULT_LOCK_TIME shouldGetPositiveGracePeriodFromAnnotation() shouldFindAnnotationOnSubclassProxy() shouldFindAnnotationOnDynamicProxy() shouldGetPositiveGracePeriodFromAnnotationWithString() embeddedValueResolver,1,god_class_refactor_examples/962+lukas-krecan_ShedLock+50e06+SpringLockConfigurationExtractorTest+AbstractSpringLockConfigurationExtractorTest.csv,https://github.com/lukas-krecan/ShedLock/commit/50e06ab9ebde7c15fb4bef386f1481f647252eef
41,1049,ccbd70984078230c5f3ac96d6429292b069fda7c,42604bfad8e75681fe3f53b27dc80f0854f0996c,extractSubclass,Extract code to ScaleTransformer and modify Transformer to be abstract. ,com.github.pedrovgs.transformer.ScaleTransformer ,com/github/pedrovgs/transformer/ScaleTransformer.java ,com.github.pedrovgs.transformer.Transformer,com/github/pedrovgs/transformer/Transformer.java,getHeightPlusMarginTop() updateHeight(float) updateYPosition() updateXPosition(float) isNextToLeftBound() isNextToRightBound() isViewAtBottom() getWidthPlusMarginRight() isViewAtRight() updateWidth(float),getHeightPlusMarginTop() updateHeight(float) updateYPosition() updateXPosition(float) isNextToLeftBound() isNextToRightBound() isViewAtBottom() getWidthPlusMarginRight() isViewAtRight() updateWidth(float),1,god_class_refactor_examples/1049+pedrovgs_DraggablePanel+ccbd7+Transformer+ScaleTransformer.csv,https://github.com/pedrovgs/DraggablePanel/commit/ccbd70984078230c5f3ac96d6429292b069fda7c
42,1062,ee0fd10fc42fed77a178d55899afad911c16a988,6773bad9d5cb28c4cf7567175071b5b2d1072b98,extractSuperclass,Complete realm model ,com.github.mikephil.charting.data.realm.RealmLineRadarDataSet com.github.mikephil.charting.data.realm.RealmLineScatterCandleRadarDataSet ,com/github/mikephil/charting/data/realm/RealmLineRadarDataSet.java com/github/mikephil/charting/data/realm/RealmLineScatterCandleRadarDataSet.java ,com.github.mikephil.charting.data.realm.RealmLineDataSet,com/github/mikephil/charting/data/realm/RealmLineDataSet.java,isHorizontalHighlightIndicatorEnabled() isDrawFilledEnabled() getDashPathEffectHighlight() isVerticalHighlightIndicatorEnabled() getFillColor() setDrawFilled(boolean) getHighlightLineWidth() getLineWidth() getFillAlpha(),isHorizontalHighlightIndicatorEnabled() isDrawFilledEnabled() getDashPathEffectHighlight() isVerticalHighlightIndicatorEnabled() getFillColor() setDrawFilled(boolean) getHighlightLineWidth() getLineWidth() getFillAlpha(),2,god_class_refactor_examples/1062+PhilJay_MPAndroidChart+ee0fd+RealmLineDataSet+RealmLineScatterCandleRadarDataSet.csv,https://github.com/PhilJay/MPAndroidChart/commit/ee0fd10fc42fed77a178d55899afad911c16a988
43,1067,5aab431cff2ce9352d7dfe4296ba4155424d0560,5bc50bd780cd9ca2b4f79229a4f0b3296866a3ed,extractSuperclass,Impleme3nt RealmBaseDataSet ,com.github.mikephil.charting.data.realm.RealmBaseDataSet ,com/github/mikephil/charting/data/realm/RealmBaseDataSet.java ,com.github.mikephil.charting.data.realm.RealmLineDataSet,com/github/mikephil/charting/data/realm/RealmLineDataSet.java,"getEntryIndex(int) getEntryCount() addEntry(Entry) removeEntry(Entry) results getEntryForIndex(int) getYMin() getYMax() calcMinMax(int,int) getYValForXIndex(int) yValuesField xIndexField getEntryIndex(Entry) getEntryForXIndex(int)","getEntryIndex(int) getEntryCount() addEntry(Entry) removeEntry(Entry) results getEntryForIndex(int) getYMin() getYMax() calcMinMax(int,int) getYValForXIndex(int) yValuesField xIndexField getEntryIndex(Entry) getEntryForXIndex(int)",1,god_class_refactor_examples/1067+PhilJay_MPAndroidChart+5aab4+RealmLineDataSet+RealmBaseDataSet.csv,https://github.com/PhilJay/MPAndroidChart/commit/5aab431cff2ce9352d7dfe4296ba4155424d0560
44,1073,4cb9089fe44062486da79403a6c6b495a6f13a5e,3d1649aa1d8f7e11a093d281fba7eda472b4860c,extractSuperclass,"Added more documentation, created ComponentBase. ",com.github.mikephil.charting.components.ComponentBase ,com/github/mikephil/charting/components/ComponentBase.java ,com.github.mikephil.charting.components.AxisBase,com/github/mikephil/charting/components/AxisBase.java,getXOffset() mTextColor getYOffset() mXOffset mYOffset setXOffset(float) getTextSize() mTextSize getTypeface() setYOffset(float) mTypeface setTypeface(Typeface) setTextColor(int) setTextSize(float) getTextColor(),getXOffset() mTextColor getYOffset() mXOffset mYOffset setXOffset(float) getTextSize() mTextSize getTypeface() setYOffset(float) mTypeface setTypeface(Typeface) setTextColor(int) setTextSize(float) getTextColor(),1,god_class_refactor_examples/1073+PhilJay_MPAndroidChart+4cb90+AxisBase+ComponentBase.csv,https://github.com/PhilJay/MPAndroidChart/commit/4cb9089fe44062486da79403a6c6b495a6f13a5e
45,1074,4cb9089fe44062486da79403a6c6b495a6f13a5e,3d1649aa1d8f7e11a093d281fba7eda472b4860c,extractSuperclass,"Added more documentation, created ComponentBase. ",com.github.mikephil.charting.components.ComponentBase ,com/github/mikephil/charting/components/ComponentBase.java ,com.github.mikephil.charting.components.Legend,com/github/mikephil/charting/components/Legend.java,getXOffset() mTextColor getYOffset() mXOffset mYOffset setXOffset(float) getTextSize() mTextSize getTypeface() setYOffset(float) mTypeface setTypeface(Typeface) setTextColor(int) setTextSize(float) getTextColor(),getXOffset() mTextColor getYOffset() mXOffset mYOffset setXOffset(float) getTextSize() mTextSize getTypeface() setYOffset(float) mTypeface setTypeface(Typeface) setTextColor(int) setTextSize(float) getTextColor(),1,god_class_refactor_examples/1074+PhilJay_MPAndroidChart+4cb90+Legend+ComponentBase.csv,https://github.com/PhilJay/MPAndroidChart/commit/4cb9089fe44062486da79403a6c6b495a6f13a5e
46,1078,0a5202da009279728c4e2b6f4f0d4b816a249feb,ae7cbb4cc08126342c2c8eeb60004882ef5d11c4,extractClass,"Massive changes to the architecture, implementing two axis feature. ",com.github.mikephil.charting.renderer.LineChartRenderer ,com/github/mikephil/charting/renderer/LineChartRenderer.java ,com.github.mikephil.charting.charts.LineChart,com/github/mikephil/charting/charts/LineChart.java,"drawCubicFill(LineDataSet,Path) drawLinear(LineDataSet,ArrayList<Entry>) drawLinearFill(LineDataSet,ArrayList<Entry>) generateFilledPath(ArrayList<Entry>,float) mCirclePaintInner generateLinePath(ArrayList<Entry>) drawValues() drawHighlights() drawCubic(LineDataSet,ArrayList<Entry>)","drawCubicFill(LineDataSet,Path) drawLinear(LineDataSet,ArrayList<Entry>) drawLinearFill(LineDataSet,ArrayList<Entry>) generateFilledPath(ArrayList<Entry>,float) mCirclePaintInner generateLinePath(ArrayList<Entry>) drawValues() drawHighlights() drawCubic(LineDataSet,ArrayList<Entry>)",1,god_class_refactor_examples/1078+PhilJay_MPAndroidChart+0a520+LineChart+LineChartRenderer.csv,https://github.com/PhilJay/MPAndroidChart/commit/0a5202da009279728c4e2b6f4f0d4b816a249feb
47,1079,0a5202da009279728c4e2b6f4f0d4b816a249feb,ae7cbb4cc08126342c2c8eeb60004882ef5d11c4,extractClass,"Massive changes to the architecture, implementing two axis feature. ",com.github.mikephil.charting.renderer.ViewPortHandler ,com/github/mikephil/charting/renderer/ViewPortHandler.java ,com.github.mikephil.charting.renderer.Transformer,com/github/mikephil/charting/renderer/Transformer.java,"isFullyZoomedOutY() limitTransAndScale(Matrix,RectF) setScaleMinima(float,float,ChartInterface) fitScreen() mTransOffsetY zoomIn(float,float) mScaleY zoomOut(float,float) mMinScaleX mScaleX getTouchMatrix() isFullyZoomedOut() mMinScaleY getScaleY() setDragOffsetY(float) getScaleX() mMatrixTouch mTransOffsetX zoom(float,float,float,float) hasNoDragOffset() centerViewPort(float[],ChartInterface) refresh(Matrix,ChartInterface) setDragOffsetX(float) isFullyZoomedOutX()","isFullyZoomedOutY() limitTransAndScale(Matrix,RectF) setScaleMinima(float,float,ChartInterface) fitScreen() mTransOffsetY zoomIn(float,float) mScaleY zoomOut(float,float) mMinScaleX mScaleX getTouchMatrix() isFullyZoomedOut() mMinScaleY getScaleY() setDragOffsetY(float) getScaleX() mMatrixTouch mTransOffsetX zoom(float,float,float,float) hasNoDragOffset() centerViewPort(float[],ChartInterface) refresh(Matrix,ChartInterface) setDragOffsetX(float) isFullyZoomedOutX()",1,god_class_refactor_examples/1079+PhilJay_MPAndroidChart+0a520+Transformer+ViewPortHandler.csv,https://github.com/PhilJay/MPAndroidChart/commit/0a5202da009279728c4e2b6f4f0d4b816a249feb
48,1084,6b71988548b9d75202406a7079a1a083d33f70b5,7e58afd43002acfb82f05af6bbe68bef58c74b7f,extractSuperclass,Started implementation of RadarChart (Spider-Web-Chart). ,com.github.mikephil.charting.data.LineRadarDataSet ,com/github/mikephil/charting/data/LineRadarDataSet.java ,com.github.mikephil.charting.data.LineDataSet,com/github/mikephil/charting/data/LineDataSet.java,getLineWidth() isDrawFilledEnabled() mFillColor mFillAlpha setLineWidth(float) mDrawFilled setFillColor(int) mLineWidth getFillColor() setDrawFilled(boolean) setFillAlpha(int) getFillAlpha(),getLineWidth() isDrawFilledEnabled() mFillColor mFillAlpha setLineWidth(float) mDrawFilled setFillColor(int) mLineWidth getFillColor() setDrawFilled(boolean) setFillAlpha(int) getFillAlpha(),1,god_class_refactor_examples/1084+PhilJay_MPAndroidChart+6b719+LineDataSet+LineRadarDataSet.csv,https://github.com/PhilJay/MPAndroidChart/commit/6b71988548b9d75202406a7079a1a083d33f70b5
49,1100,e37b73a6138e373be57e27305037748cbca02bcc,ff9811307c94f061d218677f35eba02b3313cadc,extractClass,ASTGen: break the revised stuff out into PDEX ,processing.mode.java.pdex.ASTUtils processing.mode.java.pdex.PDEX.ShowUsage processing.mode.java.pdex.PDEX.DebugTree processing.mode.java.pdex.PDEX ,processing/mode/java/pdex/ASTUtils.java processing/mode/java/pdex/PDEX/ShowUsage.java processing/mode/java/pdex/PDEX/DebugTree.java processing/mode/java/pdex/PDEX.java ,processing.mode.java.pdex.ASTGenerator,processing/mode/java/pdex/ASTGenerator.java,"SHOW_DEBUG_TREE isAddableASTNode(ASTNode) handleShowUsage(int,int,int) handleRename(int,int,int) handleCtrlClick(int,int) getSimpleNameChildren(ASTNode) editor handleShowUsage(PreprocessedSketch,IBinding,List<SketchInterval>) ecs updateDebugTree(PreprocessedSketch) disposeWindow(Window...) handleRename(PreprocessedSketch,IBinding,String) getSimpleNameAt(ASTNode,int,int) getASTNodeAt(ASTNode,int,int) visitRecur(ASTNode,DefaultMutableTreeNode) findAllOccurrences(ASTNode,String) isNameOrType(ASTNode) resolveBinding(SimpleName)","SHOW_DEBUG_TREE isAddableASTNode(ASTNode) handleShowUsage(int,int,int) handleRename(int,int,int) handleCtrlClick(int,int) getSimpleNameChildren(ASTNode) editor handleShowUsage(PreprocessedSketch,IBinding,List<SketchInterval>) ecs handleRename(PreprocessedSketch,IBinding,String) disposeWindow(Window...) updateDebugTree(PreprocessedSketch) getSimpleNameAt(ASTNode,int,int) getASTNodeAt(ASTNode,int,int) visitRecur(ASTNode,DefaultMutableTreeNode) findAllOccurrences(ASTNode,String) isNameOrType(ASTNode) resolveBinding(SimpleName)",4,god_class_refactor_examples/1100+processing_processing+e37b7+ASTGenerator+PDEX.csv,https://github.com/processing/processing/commit/e37b73a6138e373be57e27305037748cbca02bcc
50,1104,a8e58bb259462d7f4d0f940b6e5bd758425c2aa2,efa529eabc34c244337f97ad36e9d6cb7d180e78,extractClass,"cleaning up Base, move Platform things into Platform (#2765) ",processing.app.Platform ,processing/app/Platform.java ,processing.app.Base,processing/app/Base.java,"getContentFile(String) initPlatform() isMacOS() getVariant() getPlatformName(int) getPlatformName() getPlatformIndex(String) getNativeArch() getJavaPath() getVariant(int,String,int) processingRoot isWindows() openURL(String) openFolderAvailable() getNativeBits() nativeBits isLinux() openFolder(File) getJavaHome()","getContentFile(String) initPlatform() isMacOS() handleOpenModeManager() getVariant() getPlatformName(int) getPlatformName() getPlatformIndex(String) getNativeArch() getJavaPath() getVariant(int,String,int) handleOpenExampleManager() processingRoot isWindows() openURL(String) openFolderAvailable() handleOpenToolManager() getNativeBits() nativeBits contributionManagerFrame isLinux() handleOpenLibraryManager() openFolder(File) getJavaHome() handleShowUpdates()",1,god_class_refactor_examples/1104+processing_processing+a8e58+Base+Platform.csv,https://github.com/processing/processing/commit/a8e58bb259462d7f4d0f940b6e5bd758425c2aa2
51,1137,dee316ad9cec8f2d02c5fbf368538b4f5b799e2e,17520e4b60a20dd3eddbcb390d82749a8e4e68fa,extractClass,"Separate dialog for libraries, tools, and modes   ",processing.app.ContributionManagerDialog ,processing/app/ContributionManagerDialog.java ,processing.app.ContributionManager,processing/app/ContributionManager.java,"createComponents() scrollPane updateCategoryChooser() category getContributionIcon(Contribution.Type) hasAlreadyBeenOpened() contributionIcons filterLibraries(String,List<String>) updateContributionListing() statusBar filterField ICON_HEIGHT registerDisposeListeners() dialog setFilterText(String) disposeFrame() ANY_CATEGORY editor showFrame(Editor) ICON_WIDTH contributionListPanel categoryChooser","createComponents() scrollPane updateCategoryChooser() category getContributionIcon(Contribution.Type) hasAlreadyBeenOpened() contributionIcons filterLibraries(String,List<String>) updateContributionListing() statusBar filterField ICON_HEIGHT registerDisposeListeners() dialog setFilterText(String) disposeFrame() ANY_CATEGORY editor showFrame(Editor) ICON_WIDTH contributionListPanel categoryChooser",1,god_class_refactor_examples/1137+processing_processing+dee31+ContributionManager+ContributionManagerDialog.csv,https://github.com/processing/processing/commit/dee316ad9cec8f2d02c5fbf368538b4f5b799e2e
