index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,code summary
11,"chooseServerAlias(String,Principal[],Socket)",choose server alias key type issuers socket ,Method,,com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsNullIfDefaultAliasReturnsNull() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfSocketIsNull() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfSocketIsNotAnAnSSLSocket() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfHandshakeSessionIsNotSupported() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfHandshakeSessionIsNotAnAnExtendedSSLSession() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfGetRequestedServerNamesIsNotSupported() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfThereAreNoSNIServerNames() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfThereAreNoSNIHostNames() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseServerAliasDefaultsTest+returnsDefaultIfAnSNIHostNameMatchesTheDefaultCertificate(),"com.github.tomakehurst.wiremock.http.ssl.DelegatingX509ExtendedKeyManager+chooseServerAlias(String,Principal[],Socket) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(Socket) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(Socket) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+tryToChooseServerAlias(String,String,ExtendedSSLSession) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+tryToChooseServerAlias(String,String,ExtendedSSLSession)",,341,6,1,,"@Override
    public String chooseServerAlias(String keyType, Principal[] issuers, Socket socket) {
        String defaultAlias = super.chooseServerAlias(keyType, issuers, socket);
        ExtendedSSLSession handshakeSession = getHandshakeSession(socket);
        return tryToChooseServerAlias(keyType, defaultAlias, handshakeSession);
    }",False,False,"This method overrides the chooseServerAlias method from a superclass. It takes in the keyType, issuers, and socket as parameters. It calls the superclass method to get the defaultAlias. It then gets the handshakeSession from the socket and calls tryToChooseServerAlias method with the keyType, defaultAlias, and handshakeSession as parameters. Finally, it returns the result of the tryToChooseServerAlias method.","This code overrides the `chooseServerAlias` method, which is responsible for selecting the server's alias during SSL/TLS handshake. It first calls the superclass's implementation to get a default alias, then retrieves the handshake session from the socket and finally calls another method to potentially choose a different alias based on the key type, default alias, and handshake session."
12,getHandshakeSession(Socket),get handshake session socket ,Method,"chooseServerAlias(String,Principal[],Socket)",,com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSessionIfSupported(SSLSocket) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSessionIfSupported(SSLSocket) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(SSLSession) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(SSLSession),,356,9,10,,"private static ExtendedSSLSession getHandshakeSession(Socket socket) {
        if (socket instanceof SSLSocket) {
            SSLSocket sslSocket = (SSLSocket) socket;
            SSLSession sslSession = getHandshakeSessionIfSupported(sslSocket);
            return getHandshakeSession(sslSession);
        } else {
            return null;
        }
    }",False,False,"This method returns the handshake session of a given socket if it is an instance of SSLSocket, otherwise it returns null.","This code is a method named ""getHandshakeSession"" that takes a Socket object as a parameter. It checks if the socket is an instance of SSLSocket, and if so, it retrieves the SSLSession from the socket and returns an ExtendedSSLSession object. If the socket is not an instance of SSLSocket, it returns null."
13,getHandshakeSessionIfSupported(SSLSocket),get handshake session if supported ssl socket ,Method,getHandshakeSession(Socket),,javax.net.ssl.SSLSocket+getHandshakeSession() javax.net.ssl.SSLSocket+getHandshakeSession(),,307,8,10,,"private static SSLSession getHandshakeSessionIfSupported(SSLSocket sslSocket) {
        try {
            return sslSocket.getHandshakeSession();
        } catch (UnsupportedOperationException e) {
            // TODO log that dynamically generating is not supported
            return null;
        }
    }",False,False,"This method returns the SSL handshake session of the given SSL socket if supported. If not supported, it logs a message and returns null.","The code defines a private static method named ""getHandshakeSessionIfSupported"" that takes an SSLSocket as a parameter. It attempts to retrieve the handshake session from the socket using the ""getHandshakeSession"" method. If the operation is not supported, it catches the UnsupportedOperationException and returns null."
14,"chooseEngineServerAlias(String,Principal[],SSLEngine)",choose engine server alias key type issuers engine ,Method,,com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsNullIfDefaultAliasReturnsNull() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsDefaultIfEngineIsNull() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsDefaultIfHandshakeSessionIsNotSupported() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsDefaultIfHandshakeSessionIsNotAnAnExtendedSSLSession() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsDefaultIfGetRequestedServerNamesIsNotSupported() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsDefaultIfThereAreNoSNIServerNames() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsDefaultIfThereAreNoSNIHostNames() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasDefaultsTest+returnsDefaultIfAnSNIHostNameMatchesTheDefaultCertificate() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManagerChooseEngineServerAliasTest+generatesAndReturnsNewAliasForWorkingPrivateKey(),"com.github.tomakehurst.wiremock.http.ssl.DelegatingX509ExtendedKeyManager+chooseEngineServerAlias(String,Principal[],SSLEngine) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(SSLEngine) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(SSLEngine) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+tryToChooseServerAlias(String,String,ExtendedSSLSession) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+tryToChooseServerAlias(String,String,ExtendedSSLSession)",,356,6,1,,"@Override
    public String chooseEngineServerAlias(String keyType, Principal[] issuers, SSLEngine engine) {
        String defaultAlias = super.chooseEngineServerAlias(keyType, issuers, engine);
        ExtendedSSLSession handshakeSession = getHandshakeSession(engine);
        return tryToChooseServerAlias(keyType, defaultAlias, handshakeSession);
    }",False,False,"This method overrides the chooseEngineServerAlias method and returns a server alias for the given key type, issuers, and SSLEngine. It first calls the super method to get a default alias, then tries to choose a server alias based on the key type, default alias, and handshake session.","This code overrides the `chooseEngineServerAlias` method, which is responsible for selecting the server's alias for SSL/TLS handshake. It calls the superclass's method to get a default alias, retrieves the handshake session, and then uses a custom method `tryToChooseServerAlias` to potentially choose a different alias based on the key type, default alias, and handshake session."
15,getHandshakeSession(SSLEngine),get handshake session ssl engine ,Method,"chooseEngineServerAlias(String,Principal[],SSLEngine)",,com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSessionIfSupported(SSLEngine) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSessionIfSupported(SSLEngine) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(SSLSession) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getHandshakeSession(SSLSession),,205,4,10,,"private static ExtendedSSLSession getHandshakeSession(SSLEngine sslEngine) {
        SSLSession sslSession = getHandshakeSessionIfSupported(sslEngine);
        return getHandshakeSession(sslSession);
    }",False,False,"The function of the given method is to retrieve the handshake session from the provided SSL engine, by first checking if the handshake session is supported and then returning the handshake session.","The code defines a private static method named ""getHandshakeSession"" that takes an SSLEngine object as a parameter. It first calls another method named ""getHandshakeSessionIfSupported"" to retrieve the SSLSession object, and then passes that object to another method named ""getHandshakeSession"" to return an ExtendedSSLSession object."
16,getHandshakeSessionIfSupported(SSLEngine),get handshake session if supported ssl engine ,Method,getHandshakeSession(SSLEngine),,javax.net.ssl.SSLEngine+getHandshakeSession() javax.net.ssl.SSLEngine+getHandshakeSession(),,330,8,10,,"private static SSLSession getHandshakeSessionIfSupported(SSLEngine sslEngine) {
        try {
            return sslEngine.getHandshakeSession();
        } catch (UnsupportedOperationException | NullPointerException e) {
            // TODO log that dynamically generating is not supported
            return null;
        }
    }",False,False,"This method returns the SSL handshake session if supported by the given SSL engine. If not supported, it logs a message and returns null.","This code defines a private static method named ""getHandshakeSessionIfSupported"" that takes an SSLEngine object as a parameter. It attempts to retrieve the handshake session from the SSLEngine and returns it. If the operation is not supported or a NullPointerException occurs, it logs a message and returns null."
17,getHandshakeSession(SSLSession),get handshake session handshake session ,Method,getHandshakeSession(Socket) getHandshakeSession(SSLEngine),,,,262,7,10,,"private static ExtendedSSLSession getHandshakeSession(SSLSession handshakeSession) {
        if (handshakeSession instanceof ExtendedSSLSession) {
            return (ExtendedSSLSession) handshakeSession;
        } else {
            return null;
        }
    }",False,False,"The function of the method is to return an ExtendedSSLSession object if the input SSLSession object is an instance of ExtendedSSLSession, otherwise it returns null.","The code defines a private static method named ""getHandshakeSession"" that takes an SSLSession object as a parameter. It checks if the given session is an instance of ExtendedSSLSession and returns it if true, otherwise it returns null."
18,"tryToChooseServerAlias(String,String,ExtendedSSLSession)",try to choose server alias key type default alias handshake session param key type non null may be invalid param default alias nullable param handshake session nullable ,Method,"chooseServerAlias(String,Principal[],Socket) chooseEngineServerAlias(String,Principal[],SSLEngine)",,"com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+chooseServerAlias(String,String,ExtendedSSLSession) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+chooseServerAlias(String,String,ExtendedSSLSession)",com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+existingCertificateAuthority,501,12,2,"/** 
 * @param keyType non null, may be invalid
 * @param defaultAlias nullable
 * @param handshakeSession nullable
 */
","/**
     * @param keyType non null, may be invalid
     * @param defaultAlias nullable
     * @param handshakeSession nullable
     */
    private String tryToChooseServerAlias(String keyType, String defaultAlias, ExtendedSSLSession handshakeSession) {
        if (defaultAlias != null && handshakeSession != null && existingCertificateAuthority != null) {
            return chooseServerAlias(keyType, defaultAlias, handshakeSession);
        } else {
            return defaultAlias;
        }
    }",False,False,"This method tries to choose a server alias based on the provided parameters. If the default alias, handshake session, and existing certificate authority are not null, it calls the chooseServerAlias method. Otherwise, it returns the default alias.","This code defines a private method called `tryToChooseServerAlias` that takes in three parameters: `keyType`, `defaultAlias`, and `handshakeSession`. It checks if `defaultAlias`, `handshakeSession`, and `existingCertificateAuthority` are not null, and if so, it calls another method called `chooseServerAlias` with the same parameters and returns its result. Otherwise, it returns the value of `defaultAlias`."
19,"chooseServerAlias(String,String,ExtendedSSLSession)",choose server alias key type default alias handshake session param key type non null guaranteed to be valid param default alias non null guaranteed to match a private key entry param handshake session non null ,Method,"tryToChooseServerAlias(String,String,ExtendedSSLSession)",,"com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getSNIHostNames(ExtendedSSLSession) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getSNIHostNames(ExtendedSSLSession) java.util.List+isEmpty() java.util.List+isEmpty() com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+chooseServerAlias(String,String,List<SNIHostName>) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+chooseServerAlias(String,String,List<SNIHostName>)",,575,13,2,"/** 
 * @param keyType non null, guaranteed to be valid
 * @param defaultAlias non null, guaranteed to match a private key entry
 * @param handshakeSession non null
 */
","/**
     * @param keyType non null, guaranteed to be valid
     * @param defaultAlias non null, guaranteed to match a private key entry
     * @param handshakeSession non null
     */
    private String chooseServerAlias(String keyType, String defaultAlias, ExtendedSSLSession handshakeSession) {
        List<SNIHostName> requestedServerNames = getSNIHostNames(handshakeSession);
        if (requestedServerNames.isEmpty()) {
            return defaultAlias;
        } else {
            return chooseServerAlias(keyType, defaultAlias, requestedServerNames);
        }
    }",False,False,"This method chooses a server alias based on the key type, default alias, and the requested server names in the handshake session. If no requested server names are present, it returns the default alias. Otherwise, it recursively calls itself with the requested server names.","This code defines a private method called `chooseServerAlias` that takes in three parameters: `keyType`, `defaultAlias`, and `handshakeSession`. It first checks if the list of requested server names is empty, and if so, it returns the `defaultAlias`. Otherwise, it calls another overloaded version of `chooseServerAlias` with the additional parameter `requestedServerNames` and returns the result."
20,getSNIHostNames(ExtendedSSLSession),get sni host names handshake session ,Method,"chooseServerAlias(String,String,ExtendedSSLSession)",,com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getRequestedServerNames(ExtendedSSLSession) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getRequestedServerNames(ExtendedSSLSession) java.util.List+size() java.util.List+size() java.util.List+add(E) java.util.List+add(E),,521,10,10,,"private static List<SNIHostName> getSNIHostNames(ExtendedSSLSession handshakeSession) {
        List<SNIServerName> requestedServerNames = getRequestedServerNames(handshakeSession);
        List<SNIHostName> requestedHostNames = new ArrayList<>(requestedServerNames.size());
        for (SNIServerName serverName: requestedServerNames) {
            if (serverName instanceof SNIHostName) {
                requestedHostNames.add((SNIHostName) serverName);
            }
        }
        return requestedHostNames;
    }",False,False,"This method takes an ExtendedSSLSession as input and returns a List of SNIHostNames. It extracts the requested server names from the session, filters out any that are not SNIHostNames, and returns the filtered list.","This code is a private static method that takes an ExtendedSSLSession object as input and returns a list of SNIHostNames. It extracts the requested server names from the session, filters out any that are not of type SNIHostName, and returns the filtered list."
21,getRequestedServerNames(ExtendedSSLSession),get requested server names handshake session ,Method,getSNIHostNames(ExtendedSSLSession),,javax.net.ssl.ExtendedSSLSession+getRequestedServerNames() javax.net.ssl.ExtendedSSLSession+getRequestedServerNames(),,343,8,10,,"private static List<SNIServerName> getRequestedServerNames(ExtendedSSLSession handshakeSession) {
        try {
            return handshakeSession.getRequestedServerNames();
        } catch (UnsupportedOperationException e) {
            // TODO log that dynamically generating is not supported
            return emptyList();
        }
    }",False,False,"This method returns a list of requested server names from an extended SSL session. If dynamically generating server names is not supported, it returns an empty list.","This code defines a private static method named ""getRequestedServerNames"" that takes an ExtendedSSLSession object as a parameter. It attempts to retrieve the requested server names from the session using the ""getRequestedServerNames"" method. If the operation is not supported, it catches the UnsupportedOperationException and returns an empty list."
22,"chooseServerAlias(String,String,List<SNIHostName>)",choose server alias key type default alias requested server names param key type non null guaranteed to be valid param default alias non null guaranteed to match a private key entry param requested server names non null non empty ,Method,"chooseServerAlias(String,String,ExtendedSSLSession)",,"com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getCertificateChain(String) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+getCertificateChain(String) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+matches(X509Certificate,List<SNIHostName>) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+matches(X509Certificate,List<SNIHostName>) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+generateCertificate(String,SNIHostName) com.github.tomakehurst.wiremock.http.ssl.CertificateGeneratingX509ExtendedKeyManager+generateCertificate(String,SNIHostName) java.util.List+get(int) java.util.List+get(int)",,869,18,2,"/** 
 * @param keyType non null, guaranteed to be valid
 * @param defaultAlias non null, guaranteed to match a private key entry
 * @param requestedServerNames non null, non empty
 */
","/**
     * @param keyType non null, guaranteed to be valid
     * @param defaultAlias non null, guaranteed to match a private key entry
     * @param requestedServerNames non null, non empty
     */
    private String chooseServerAlias(String keyType, String defaultAlias, List<SNIHostName> requestedServerNames) {
        X509Certificate[] certificateChain = getCertificateChain(defaultAlias);
        if (matches(certificateChain[0], requestedServerNames)) {
            return defaultAlias;
        } else {
            try {
                return generateCertificate(keyType, requestedServerNames.get(0));
            } catch (KeyStoreException | CertificateException | NoSuchAlgorithmException | NoSuchProviderException | InvalidKeyException | SignatureException e) {
                // TODO log?
                return defaultAlias;
            }
        }
    }",False,False,"This method chooses a server alias based on the provided key type, default alias, and requested server names. It checks if the certificate chain matches the requested server names and returns the default alias if it does. Otherwise, it generates a new certificate and returns the generated alias. If any exceptions occur during the process, it logs the error and returns the default alias.","This code defines a private method called `chooseServerAlias` that takes in a key type, a default alias, and a list of requested server names. It retrieves the certificate chain for the default alias and checks if it matches the requested server names. If it does, it returns the default alias. Otherwise, it generates a new certificate using the key type and the first requested server name, and returns it. If any exceptions occur during the generation process, it returns the default alias."
