index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
15,"set(Connection,PreparedStatement)",Method,"""","org.apache.hive.hplsql.Conn+prepareQuery(Query,String)""","""","org.apache.hive.hplsql.Query+conn org.apache.hive.hplsql.Query+conn org.apache.hive.hplsql.Query+pstmt org.apache.hive.hplsql.Query+pstmt""",109,4,1667,64,1,,"public void set(Connection conn, PreparedStatement pstmt) {
    this.conn = conn;
    this.pstmt = pstmt;
  }",False,False
16,setFetch(boolean),Method,"""","org.apache.hive.hplsql.Stmt+fetch(HplsqlParser.Fetch_stmtContext) org.apache.hive.hplsql.Stmt+fetch(HplsqlParser.Fetch_stmtContext)""","""","org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State""",189,11,1782,72,1,"/** 
 * Set the fetch status
 */
","/**
   * Set the fetch status
   */
  public void setFetch(boolean ok) {
    if (ok == true) {
      state = State.FETCHED_OK;
    }
    else {
      state = State.FETCHED_NODATA;
    }
  }",True,True
17,getRowCount(),Method,"""","org.apache.hive.hplsql.Exec+executeSql(ParserRuleContext,String,String)""","org.apache.hive.hplsql.Query+error() org.apache.hive.hplsql.Query+error() java.sql.Statement+getUpdateCount() java.sql.Statement+getUpdateCount()""","org.apache.hive.hplsql.Query+stmt org.apache.hive.hplsql.Query+stmt""",211,11,1977,84,1,"/** 
 * Get the number of rows
 */
","/**
   * Get the number of rows
   */
  public int getRowCount() {
    if (!error() && stmt != null) {
      try {
        return stmt.getUpdateCount();
      } catch (SQLException e) {}
    }
    return -1;
  }",False,False
18,isOpen(),Method,"""","org.apache.hive.hplsql.Expression+execCursorAttribute(HplsqlParser.Expr_cursor_attributeContext)""","""","org.apache.hive.hplsql.Query+rs""",139,9,2194,96,1,"/** 
 * Check if the cursor is open
 */
","/**
   * Check if the cursor is open
   */
  public boolean isOpen() {
    if (rs != null) {
      return true;
    }
    return false;
  }",True,True
19,isFound(),Method,"""","org.apache.hive.hplsql.Expression+execCursorAttribute(HplsqlParser.Expr_cursor_attributeContext)""","java.lang.Boolean+valueOf(boolean) java.lang.Boolean+valueOf(boolean) java.lang.Boolean+valueOf(boolean) java.lang.Boolean+valueOf(boolean)""","org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State""",301,12,2339,106,1,"/** 
 * Check if the cursor was fetched and a row was returned
 */
","/**
   * Check if the cursor was fetched and a row was returned
   */
  public Boolean isFound() {
    if (state == State.OPEN || state == State.CLOSE) {
      return null;
    }
    if (state == State.FETCHED_OK) {
      return Boolean.valueOf(true);
    } 
    return Boolean.valueOf(false);    
  }",True,True
20,isNotFound(),Method,"""","org.apache.hive.hplsql.Expression+execCursorAttribute(HplsqlParser.Expr_cursor_attributeContext)""","java.lang.Boolean+valueOf(boolean) java.lang.Boolean+valueOf(boolean) java.lang.Boolean+valueOf(boolean) java.lang.Boolean+valueOf(boolean)""","org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State""",304,12,2646,119,1,"/** 
 * Check if the cursor was fetched and no row was returned
 */
","/**
   * Check if the cursor was fetched and no row was returned
   */
  public Boolean isNotFound() {
    if (state == State.OPEN || state == State.CLOSE) {
      return null;
    }
    if (state == State.FETCHED_NODATA) {
      return Boolean.valueOf(true);
    }
    return Boolean.valueOf(false);
  }",True,True
21,closeStatement(),Method,"""","org.apache.hive.hplsql.Conn+closeQuery(Query,String)""","java.sql.ResultSet+close() java.sql.ResultSet+close() java.sql.Statement+close() java.sql.Statement+close() java.sql.Statement+close() java.sql.Statement+close() java.lang.Throwable+printStackTrace() java.lang.Throwable+printStackTrace()""","org.apache.hive.hplsql.Query+rs org.apache.hive.hplsql.Query+rs org.apache.hive.hplsql.Query+rs org.apache.hive.hplsql.Query+stmt org.apache.hive.hplsql.Query+stmt org.apache.hive.hplsql.Query+stmt org.apache.hive.hplsql.Query+pstmt org.apache.hive.hplsql.Query+pstmt org.apache.hive.hplsql.Query+pstmt org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State""",404,22,2956,132,1,"/** 
 * Close statement results
 */
","/**
   * Close statement results
   */
  public void closeStatement() {
    try {
      if(rs != null) {
        rs.close();
        rs = null;
      }
      if(stmt != null) {
        stmt.close();
        stmt = null;
      }
      if(pstmt != null) {
        pstmt.close();
        pstmt = null;
      }
      state = State.CLOSE;
    } catch (SQLException e) {
      e.printStackTrace();
    }   
  }",False,False
22,setSql(String),Method,"""","org.apache.hive.hplsql.Cmp+run(HplsqlParser.Cmp_stmtContext) org.apache.hive.hplsql.Cmp+run(HplsqlParser.Cmp_stmtContext) org.apache.hive.hplsql.Stmt+open(HplsqlParser.Open_stmtContext) org.apache.hive.hplsql.Stmt+open(HplsqlParser.Open_stmtContext)""","""","org.apache.hive.hplsql.Query+sql org.apache.hive.hplsql.Query+sql""",91,6,3366,155,1,"/** 
 * Set SQL statement
 */
","/**
   * Set SQL statement
   */
  public void setSql(String sql) {
    this.sql = sql;
  }",False,False
23,setExprCtx(ParserRuleContext),Method,"""","org.apache.hive.hplsql.Stmt+declareCursor(HplsqlParser.Declare_cursor_itemContext)""","""","org.apache.hive.hplsql.Query+sqlExpr org.apache.hive.hplsql.Query+sqlExpr""",123,6,3463,162,1,"/** 
 * Set expression context
 */
","/**
   * Set expression context
   */
  public void setExprCtx(ParserRuleContext sqlExpr) {
    this.sqlExpr = sqlExpr;
  }",True,True
24,setSelectCtx(ParserRuleContext),Method,"""","org.apache.hive.hplsql.Stmt+declareCursor(HplsqlParser.Declare_cursor_itemContext)""","""","org.apache.hive.hplsql.Query+sqlSelect org.apache.hive.hplsql.Query+sqlSelect""",137,6,3590,169,1,"/** 
 * Set SELECT statement context
 */
","/**
   * Set SELECT statement context
   */
  public void setSelectCtx(ParserRuleContext sqlSelect) {
    this.sqlSelect = sqlSelect;
  }",True,True
25,setWithReturn(boolean),Method,"""","org.apache.hive.hplsql.Stmt+declareCursor(HplsqlParser.Declare_cursor_itemContext)""","""","org.apache.hive.hplsql.Query+withReturn org.apache.hive.hplsql.Query+withReturn""",151,6,3733,176,1,"/** 
 * Set whether the cursor is returned to the caller
 */
","/**
   * Set whether the cursor is returned to the caller
   */
  public void setWithReturn(boolean withReturn) {
    this.withReturn = withReturn;
  }",True,True
26,setError(Exception),Method,"""","org.apache.hive.hplsql.Conn+executeQuery(Query,String) org.apache.hive.hplsql.Conn+prepareQuery(Query,String) org.apache.hive.hplsql.Conn+executeSql(String,String)""","""","org.apache.hive.hplsql.Query+exception""",98,6,3890,183,1,"/** 
 * Set an execution error
 */
","/**
   * Set an execution error
   */
  public void setError(Exception e) {
    exception = e;
  }",False,False
27,printStackTrace(),Method,"""","org.apache.hive.hplsql.functions.BuiltinFunctions+evalNullClose(Query,String)""","java.lang.Throwable+printStackTrace() java.lang.Throwable+printStackTrace()""","org.apache.hive.hplsql.Query+exception org.apache.hive.hplsql.Query+exception""",145,8,3994,190,1,"/** 
 * Print error stack trace
 */
","/**
   * Print error stack trace
   */
  public void printStackTrace() {
    if(exception != null) {
      exception.printStackTrace();
    }
  }",False,False
28,getResultSet(),Method,"""","org.apache.hive.hplsql.Cmp+compare(Query,Query) org.apache.hive.hplsql.Cmp+compare(Query,Query) org.apache.hive.hplsql.Copy+copyToTable(HplsqlParser.Copy_stmtContext,Query) org.apache.hive.hplsql.Copy+copyToFile(HplsqlParser.Copy_stmtContext,Query) org.apache.hive.hplsql.functions.BuiltinFunctions+execMinMaxPart(HplsqlParser.Expr_spec_funcContext,Var.Type,boolean) org.apache.hive.hplsql.functions.BuiltinFunctions+execPartLoc(HplsqlParser.Expr_spec_funcContext) org.apache.hive.hplsql.functions.FunctionMisc+partCount(HplsqlParser.Expr_spec_funcContext) org.apache.hive.hplsql.functions.FunctionMisc+partCountBy(HplsqlParser.Expr_func_paramsContext) org.apache.hive.hplsql.Meta+getRowDataTypeForSelect(ParserRuleContext,String,String) org.apache.hive.hplsql.Meta+readColumns(ParserRuleContext,String,String,HashMap<String,Row>) org.apache.hive.hplsql.Select+select(HplsqlParser.Select_stmtContext) org.apache.hive.hplsql.Stmt+describe(HplsqlParser.Describe_stmtContext) org.apache.hive.hplsql.Stmt+fetch(HplsqlParser.Fetch_stmtContext) org.apache.hive.hplsql.Stmt+assignFromSelect(HplsqlParser.Assignment_stmt_select_itemContext) org.apache.hive.hplsql.Stmt+forCursor(HplsqlParser.For_cursor_stmtContext) org.apache.hive.hplsql.Stmt+exec(HplsqlParser.Exec_stmtContext) org.apache.hive.hplsql.Stmt+summaryStat(HplsqlParser.Summary_stmtContext,String,String,Row,String,Conn.Type) org.apache.hive.hplsql.Stmt+summaryTop(HplsqlParser.Summary_stmtContext,String,String,Row,String,Conn.Type)""","""","org.apache.hive.hplsql.Query+rs""",95,6,4145,199,1,"/** 
 * Get the result set object
 */
","/**
   * Get the result set object
   */
  public ResultSet getResultSet() {
    return rs;
  }",False,False
29,getPreparedStatement(),Method,"""","org.apache.hive.hplsql.Meta+getRowDataTypeForSelect(ParserRuleContext,String,String) org.apache.hive.hplsql.Meta+readColumns(ParserRuleContext,String,String,HashMap<String,Row>)""","""","org.apache.hive.hplsql.Query+pstmt""",122,6,4246,206,1,"/** 
 * Get the prepared statement object
 */
","/**
   * Get the prepared statement object
   */
  public PreparedStatement getPreparedStatement() {
    return pstmt;
  }",False,False
30,getConnection(),Method,"""","org.apache.hive.hplsql.Conn+closeQuery(Query,String)""","""","org.apache.hive.hplsql.Query+conn""",99,6,4374,213,1,"/** 
 * Get the connection object
 */
","/**
   * Get the connection object
   */
  public Connection getConnection() {
    return conn;
  }",False,False
31,getWithReturn(),Method,"""","org.apache.hive.hplsql.Stmt+open(HplsqlParser.Open_stmtContext)""","""","org.apache.hive.hplsql.Query+withReturn""",133,6,4479,220,1,"/** 
 * Check if the cursor defined as a return cursor to client
 */
","/**
   * Check if the cursor defined as a return cursor to client
   */
  public boolean getWithReturn() {
    return withReturn;
  }",True,True
32,error(),Method,"getRowCount()""","org.apache.hive.hplsql.Cmp+compare(Query,Query) org.apache.hive.hplsql.Cmp+compare(Query,Query) org.apache.hive.hplsql.Copy+run(HplsqlParser.Copy_stmtContext) org.apache.hive.hplsql.functions.BuiltinFunctions+execMinMaxPart(HplsqlParser.Expr_spec_funcContext,Var.Type,boolean) org.apache.hive.hplsql.functions.BuiltinFunctions+execPartLoc(HplsqlParser.Expr_spec_funcContext) org.apache.hive.hplsql.functions.FunctionMisc+partCount(HplsqlParser.Expr_spec_funcContext) org.apache.hive.hplsql.functions.FunctionMisc+partCountBy(HplsqlParser.Expr_func_paramsContext) org.apache.hive.hplsql.Meta+getRowDataTypeForSelect(ParserRuleContext,String,String) org.apache.hive.hplsql.Meta+getRowDataTypeForSelect(ParserRuleContext,String,String) org.apache.hive.hplsql.Meta+readColumns(ParserRuleContext,String,String,HashMap<String,Row>) org.apache.hive.hplsql.Meta+readColumns(ParserRuleContext,String,String,HashMap<String,Row>) org.apache.hive.hplsql.Select+select(HplsqlParser.Select_stmtContext) org.apache.hive.hplsql.Stmt+createTable(HplsqlParser.Create_table_stmtContext) org.apache.hive.hplsql.Stmt+createDatabase(HplsqlParser.Create_database_stmtContext) org.apache.hive.hplsql.Stmt+createTemporaryTable(HplsqlParser.IdentContext,HplsqlParser.Create_table_definitionContext,HplsqlParser.Create_table_preoptionsContext) org.apache.hive.hplsql.Stmt+describe(HplsqlParser.Describe_stmtContext) org.apache.hive.hplsql.Stmt+drop(HplsqlParser.Drop_stmtContext) org.apache.hive.hplsql.Stmt+truncate(HplsqlParser.Truncate_stmtContext) org.apache.hive.hplsql.Stmt+open(HplsqlParser.Open_stmtContext) org.apache.hive.hplsql.Stmt+assignFromSelect(HplsqlParser.Assignment_stmt_select_itemContext) org.apache.hive.hplsql.Stmt+insertSelect(HplsqlParser.Insert_stmtContext) org.apache.hive.hplsql.Stmt+insertValues(HplsqlParser.Insert_stmtContext) org.apache.hive.hplsql.Stmt+insertDirectory(HplsqlParser.Insert_directory_stmtContext) org.apache.hive.hplsql.Stmt+use(ParserRuleContext,String) org.apache.hive.hplsql.Stmt+forCursor(HplsqlParser.For_cursor_stmtContext) org.apache.hive.hplsql.Stmt+exec(HplsqlParser.Exec_stmtContext) org.apache.hive.hplsql.Stmt+update(HplsqlParser.Update_stmtContext) org.apache.hive.hplsql.Stmt+delete(HplsqlParser.Delete_stmtContext) org.apache.hive.hplsql.Stmt+merge(HplsqlParser.Merge_stmtContext) org.apache.hive.hplsql.Stmt+summaryStat(HplsqlParser.Summary_stmtContext,String,String,Row,String,Conn.Type) org.apache.hive.hplsql.Stmt+summaryTop(HplsqlParser.Summary_stmtContext,String,String,Row,String,Conn.Type)""","""","org.apache.hive.hplsql.Query+exception""",100,6,4618,227,1,"/** 
 * Return error information
 */
","/**
   * Return error information
   */
  public boolean error() {
    return exception != null;
  }",False,False
33,errorText(),Method,"""","org.apache.hive.hplsql.Exec+signal(Query)""","java.lang.Throwable+getMessage() java.lang.Throwable+getMessage() java.lang.Throwable+getMessage() java.lang.Throwable+getMessage()""","org.apache.hive.hplsql.Query+exception org.apache.hive.hplsql.Query+exception org.apache.hive.hplsql.Query+exception org.apache.hive.hplsql.Query+exception""",249,9,4724,231,1,,"public String errorText() {
    if(exception != null) {
      if(exception instanceof ClassNotFoundException) {
        return ""ClassNotFoundException: "" + exception.getMessage();
      }
      return exception.getMessage();
    }
    return """";
  }",False,False
34,getException(),Method,"""","org.apache.hive.hplsql.Exec+signal(Query) org.apache.hive.hplsql.Exec+signal(Query) org.apache.hive.hplsql.Meta+getRowDataTypeForSelect(ParserRuleContext,String,String) org.apache.hive.hplsql.Meta+readColumns(ParserRuleContext,String,String,HashMap<String,Row>)""","""","org.apache.hive.hplsql.Query+exception""",59,3,4979,241,1,,"public Exception getException() {
    return exception;
  }",False,False
