index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
22,isVerticalHighlightIndicatorEnabled(),Method,,,,,96,4,1,,"@Override
    public boolean isVerticalHighlightIndicatorEnabled() {
        return false;
    }",False
23,isHorizontalHighlightIndicatorEnabled(),Method,,,,,98,4,1,,"@Override
    public boolean isHorizontalHighlightIndicatorEnabled() {
        return false;
    }",False
24,getHighlightLineWidth(),Method,,,,,76,4,1,,"@Override
    public float getHighlightLineWidth() {
        return 0;
    }",False
25,getDashPathEffectHighlight(),Method,,,,,93,4,1,,"@Override
    public DashPathEffect getDashPathEffectHighlight() {
        return null;
    }",False
26,getHighLightColor(),Method,,,,,70,4,1,,"@Override
    public int getHighLightColor() {
        return 0;
    }",False
27,getYMin(),Method,,,,com.github.mikephil.charting.data.realm.RealmLineDataSet+results com.github.mikephil.charting.data.realm.RealmLineDataSet+yValuesField,99,4,1,,"@Override
    public float getYMin() {
        return results.min(yValuesField).floatValue();
    }",True
28,getYMax(),Method,,,,com.github.mikephil.charting.data.realm.RealmLineDataSet+results com.github.mikephil.charting.data.realm.RealmLineDataSet+yValuesField,99,4,1,,"@Override
    public float getYMax() {
        return results.max(yValuesField).floatValue();
    }",True
29,getEntryCount(),Method,,,,com.github.mikephil.charting.data.realm.RealmLineDataSet+results,79,4,1,,"@Override
    public int getEntryCount() {
        return results.size();
    }",True
30,"calcMinMax(int,int)",Method,"RealmLineDataSet(RealmResults<T>,String,String)",,,,65,4,1,,"@Override
    public void calcMinMax(int start, int end) {

    }",True
31,getEntryForXIndex(int),Method,,,"java.lang.Object+Object() com.github.mikephil.charting.data.Entry+Entry(float,int)",com.github.mikephil.charting.data.realm.RealmLineDataSet+results com.github.mikephil.charting.data.realm.RealmLineDataSet+xIndexField com.github.mikephil.charting.data.realm.RealmLineDataSet+yValuesField com.github.mikephil.charting.data.realm.RealmLineDataSet+xIndexField,253,6,1,,"@Override
    public Entry getEntryForXIndex(int xIndex) {

        DynamicRealmObject o = new DynamicRealmObject(results.where().equalTo(xIndexField, xIndex).findFirst());
        return new Entry(o.getFloat(yValuesField), o.getInt(xIndexField));
    }",True
32,getEntryForIndex(int),Method,,,java.util.List+get(int) java.util.List+get(int),com.github.mikephil.charting.data.realm.RealmLineDataSet+mValues,97,4,1,,"@Override
    public Entry getEntryForIndex(int index) {
        return mValues.get(index);
    }",True
33,getEntryIndex(int),Method,,,,,76,4,1,,"@Override
    public int getEntryIndex(int xIndex) {
        return 0;
    }",True
34,getEntryIndex(Entry),Method,,,java.util.List+indexOf(Object) java.util.List+indexOf(Object),com.github.mikephil.charting.data.realm.RealmLineDataSet+mValues,90,4,1,,"@Override
    public int getEntryIndex(Entry e) {
        return mValues.indexOf(e);
    }",True
35,getYValForXIndex(int),Method,,,java.lang.Object+Object(),com.github.mikephil.charting.data.realm.RealmLineDataSet+results com.github.mikephil.charting.data.realm.RealmLineDataSet+xIndexField com.github.mikephil.charting.data.realm.RealmLineDataSet+yValuesField,196,4,1,,"@Override
    public float getYValForXIndex(int xIndex) {
        return new DynamicRealmObject(results.where().greaterThanOrEqualTo(xIndexField, xIndex).findFirst()).getFloat(yValuesField);
    }",True
36,addEntry(Entry),Method,,,,,52,4,1,,"@Override
    public void addEntry(Entry e) {

    }",True
37,removeEntry(Entry),Method,,,,,79,4,1,,"@Override
    public boolean removeEntry(Entry e) {
        return false;
    }",True
