index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
11,PicCommander,MemberClass,,,"org.qii.weiciyuan.ui.interfaces.AbstractAppActivity.PicCommander+downloadAvatar(ImageView,String,int,ListView,boolean) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getBitmapFromMemCache(String) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getBitmapFromMemCache(String) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+isSameUrl(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+isSameUrl(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialAvatarDownload(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialAvatarDownload(String,ImageView) java.util.Map+remove(Object) java.util.Map+remove(Object) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getMemCacheKey(String,int) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getMemCacheKey(String,int) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialAvatarDownload(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialAvatarDownload(String,ImageView) org.qii.weiciyuan.ui.main.AvatarBitmapWorkerTask+AvatarBitmapWorkerTask(LruCache,Map<String,AvatarBitmapWorkerTask>,ImageView,String,int,Activity) org.qii.weiciyuan.support.utils.GlobalContext+getAvatarCache() org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+getAvatarCache() org.qii.weiciyuan.support.lib.AvatarBitmapDrawable+AvatarBitmapDrawable(AvatarBitmapWorkerTask) org.qii.weiciyuan.support.lib.MyAsyncTask+executeOnExecutor(Executor,Params[]) org.qii.weiciyuan.support.lib.MyAsyncTask+executeOnExecutor(Executor,Params[]) java.util.Map+put(K,V) java.util.Map+put(K,V) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getMemCacheKey(String,int) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getMemCacheKey(String,int) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity.PicCommander+downContentPic(ImageView,String,int,ListView,FileLocationMethod,boolean) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getBitmapFromMemCache(String) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getBitmapFromMemCache(String) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+isSameUrl(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+isSameUrl(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialDownload(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialDownload(String,ImageView) java.util.Map+remove(Object) java.util.Map+remove(Object) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+isSameUrl(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+isSameUrl(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialDownload(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialDownload(String,ImageView) java.util.Map+remove(Object) java.util.Map+remove(Object) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialDownload(String,ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+cancelPotentialDownload(String,ImageView) org.qii.weiciyuan.ui.main.PictureBitmapWorkerTask+PictureBitmapWorkerTask(LruCache,Map<String,PictureBitmapWorkerTask>,ImageView,String,int,Activity,FileLocationMethod) org.qii.weiciyuan.support.utils.GlobalContext+getAvatarCache() org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+getAvatarCache() org.qii.weiciyuan.support.lib.PictureBitmapDrawable+PictureBitmapDrawable(PictureBitmapWorkerTask) org.qii.weiciyuan.support.lib.MyAsyncTask+executeOnExecutor(Executor,Params[]) org.qii.weiciyuan.support.lib.MyAsyncTask+executeOnExecutor(Executor,Params[]) java.util.Map+put(K,V) java.util.Map+put(K,V)",org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+transPic org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap org.qii.weiciyuan.support.lib.MyAsyncTask+THREAD_POOL_EXECUTOR org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+transPic org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+transPic org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap org.qii.weiciyuan.support.lib.MyAsyncTask+THREAD_POOL_EXECUTOR org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap,3591,79,2,,"private class PicCommander implements ICommander {
        @Override
        public void downloadAvatar(ImageView view, String urlKey, int position, ListView listView, boolean isFling) {

            Bitmap bitmap = getBitmapFromMemCache(urlKey);
            if (bitmap != null) {
                if (!isSameUrl(urlKey, view)) {
                    view.setImageBitmap(bitmap);
                    view.setTag(urlKey);
                }
                cancelPotentialAvatarDownload(urlKey, view);
                avatarBitmapWorkerTaskHashMap.remove(getMemCacheKey(urlKey, position));
            } else {
                view.setImageDrawable(transPic);
                view.setTag("""");
                if (cancelPotentialAvatarDownload(urlKey, view) && !isFling) {
                    AvatarBitmapWorkerTask task = new AvatarBitmapWorkerTask(GlobalContext.getInstance().getAvatarCache(), avatarBitmapWorkerTaskHashMap, view, urlKey, position, AbstractAppActivity.this);
                    AvatarBitmapDrawable downloadedDrawable = new AvatarBitmapDrawable(task);
                    view.setImageDrawable(downloadedDrawable);
                    task.executeOnExecutor(MyAsyncTask.THREAD_POOL_EXECUTOR);
                    avatarBitmapWorkerTaskHashMap.put(getMemCacheKey(urlKey, position), task);
                }
            }

        }

        @Override
        public void downContentPic(final ImageView view, String urlKey, int position, ListView listView, FileLocationMethod method, boolean isFling) {
            final Bitmap bitmap = getBitmapFromMemCache(urlKey);
            if (bitmap != null) {
                switch (method) {
                    case picture_thumbnail:

                        if (!isSameUrl(urlKey, view)) {
                            view.setImageBitmap(bitmap);
                            view.setTag(urlKey);
                        }
                        cancelPotentialDownload(urlKey, view);
                        pictureBitmapWorkerTaskMap.remove(urlKey);

                        break;
                    case picture_bmiddle:
                        if (!isSameUrl(urlKey, view)) {
                            view.setImageBitmap(bitmap);
                            view.setTag(urlKey);
                        }
                        cancelPotentialDownload(urlKey, view);
                        pictureBitmapWorkerTaskMap.remove(urlKey);
                        break;
                }

            } else {

                switch (method) {
                    case picture_thumbnail:

                        view.setImageDrawable(transPic);
                        view.setTag("""");

                        break;
                    case picture_bmiddle:
                        view.setImageDrawable(transPic);
                        view.setTag("""");
                        break;

                }
                if (cancelPotentialDownload(urlKey, view) && !isFling) {

                    PictureBitmapWorkerTask task = new PictureBitmapWorkerTask(GlobalContext.getInstance().getAvatarCache(), pictureBitmapWorkerTaskMap, view, urlKey, position, AbstractAppActivity.this, method);
                    PictureBitmapDrawable downloadedDrawable = new PictureBitmapDrawable(task);
                    view.setImageDrawable(downloadedDrawable);
                    task.executeOnExecutor(MyAsyncTask.THREAD_POOL_EXECUTOR);
                    pictureBitmapWorkerTaskMap.put(urlKey, task);
                }
            }

        }

    }",True
12,"cancelPotentialDownload(String,ImageView)",Method,"PicCommander.downContentPic(ImageView,String,int,ListView,FileLocationMethod,boolean) PicCommander.downContentPic(ImageView,String,int,ListView,FileLocationMethod,boolean) PicCommander.downContentPic(ImageView,String,int,ListView,FileLocationMethod,boolean)",,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getBitmapDownloaderTask(ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getBitmapDownloaderTask(ImageView) org.qii.weiciyuan.ui.main.PictureBitmapWorkerTask+getUrl() org.qii.weiciyuan.ui.main.PictureBitmapWorkerTask+getUrl() java.lang.String+equals(Object) java.lang.String+equals(Object) org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean) org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean) org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus() org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus() org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus() org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus(),,707,14,10,,"private static boolean cancelPotentialDownload(String url, ImageView imageView) {
        PictureBitmapWorkerTask bitmapDownloaderTask = getBitmapDownloaderTask(imageView);

        if (bitmapDownloaderTask != null) {
            String bitmapUrl = bitmapDownloaderTask.getUrl();
            if ((bitmapUrl == null) || (!bitmapUrl.equals(url))) {
                bitmapDownloaderTask.cancel(true);
            } else if (bitmapDownloaderTask.getStatus() == MyAsyncTask.Status.PENDING || bitmapDownloaderTask.getStatus() == MyAsyncTask.Status.RUNNING) {
                // The same URL is already being downloaded.
                return false;
            }
        }
        return true;
    }",True
13,"isSameUrl(String,ImageView)",Method,"PicCommander.downloadAvatar(ImageView,String,int,ListView,boolean) PicCommander.downContentPic(ImageView,String,int,ListView,FileLocationMethod,boolean) PicCommander.downContentPic(ImageView,String,int,ListView,FileLocationMethod,boolean)",,java.lang.String+equals(Object) java.lang.String+equals(Object),,270,9,10,,"private static boolean isSameUrl(String url, ImageView imageView) {

        String bitmapUrl = (String) imageView.getTag();
        if ((!TextUtils.isEmpty(bitmapUrl)) && (bitmapUrl.equals(url))) {
            return true;
        }

        return false;
    }",True
14,"cancelPotentialAvatarDownload(String,ImageView)",Method,"PicCommander.downloadAvatar(ImageView,String,int,ListView,boolean) PicCommander.downloadAvatar(ImageView,String,int,ListView,boolean)",,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getAvatarBitmapDownloaderTask(ImageView) org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+getAvatarBitmapDownloaderTask(ImageView) org.qii.weiciyuan.ui.main.AvatarBitmapWorkerTask+getUrl() org.qii.weiciyuan.ui.main.AvatarBitmapWorkerTask+getUrl() java.lang.String+equals(Object) java.lang.String+equals(Object) org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean) org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean) org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus() org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus() org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus() org.qii.weiciyuan.support.lib.MyAsyncTask+getStatus(),,718,14,10,,"private static boolean cancelPotentialAvatarDownload(String url, ImageView imageView) {
        AvatarBitmapWorkerTask bitmapDownloaderTask = getAvatarBitmapDownloaderTask(imageView);

        if (bitmapDownloaderTask != null) {
            String bitmapUrl = bitmapDownloaderTask.getUrl();
            if ((bitmapUrl == null) || (!bitmapUrl.equals(url))) {
                bitmapDownloaderTask.cancel(true);
            } else if (bitmapDownloaderTask.getStatus() == MyAsyncTask.Status.PENDING || bitmapDownloaderTask.getStatus() == MyAsyncTask.Status.RUNNING) {
                // The same URL is already being downloaded.
                return false;
            }
        }
        return true;
    }",True
15,getAvatarBitmapDownloaderTask(ImageView),Method,"cancelPotentialAvatarDownload(String,ImageView)",,org.qii.weiciyuan.support.lib.AvatarBitmapDrawable+getBitmapDownloaderTask() org.qii.weiciyuan.support.lib.AvatarBitmapDrawable+getBitmapDownloaderTask(),,460,10,10,,"private static AvatarBitmapWorkerTask getAvatarBitmapDownloaderTask(ImageView imageView) {
        if (imageView != null) {
            Drawable drawable = imageView.getDrawable();
            if (drawable instanceof AvatarBitmapDrawable) {
                AvatarBitmapDrawable downloadedDrawable = (AvatarBitmapDrawable) drawable;
                return downloadedDrawable.getBitmapDownloaderTask();
            }
        }
        return null;
    }",True
16,getBitmapDownloaderTask(ImageView),Method,"cancelPotentialDownload(String,ImageView)",,org.qii.weiciyuan.support.lib.PictureBitmapDrawable+getBitmapDownloaderTask() org.qii.weiciyuan.support.lib.PictureBitmapDrawable+getBitmapDownloaderTask(),,458,10,10,,"private static PictureBitmapWorkerTask getBitmapDownloaderTask(ImageView imageView) {
        if (imageView != null) {
            Drawable drawable = imageView.getDrawable();
            if (drawable instanceof PictureBitmapDrawable) {
                PictureBitmapDrawable downloadedDrawable = (PictureBitmapDrawable) drawable;
                return downloadedDrawable.getBitmapDownloaderTask();
            }
        }
        return null;
    }",True
17,onResume(),Method,,,org.qii.weiciyuan.support.utils.GlobalContext+setActivity(Activity) org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+setActivity(Activity) org.qii.weiciyuan.support.settinghelper.SettingUtility+getAppTheme() org.qii.weiciyuan.support.settinghelper.SettingUtility+getAppTheme() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+reload() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+reload(),org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+theme,392,14,4,,"@Override
    protected void onResume() {
        super.onResume();
        GlobalContext.getInstance().setActivity(this);
        if (getResources().getBoolean(R.bool.is_phone)) {
            setRequestedOrientation(ActivityInfo.SCREEN_ORIENTATION_PORTRAIT);
        }

        if (theme == SettingUtility.getAppTheme()) {

        } else {
            reload();
        }
    }",False
18,onSaveInstanceState(Bundle),Method,,,,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+theme,165,6,4,,"@Override
    protected void onSaveInstanceState(Bundle outState) {
        super.onSaveInstanceState(outState);
        outState.putInt(""theme"", theme);

    }",False
19,onCreate(Bundle),Method,,,org.qii.weiciyuan.support.settinghelper.SettingUtility+getAppTheme() org.qii.weiciyuan.support.settinghelper.SettingUtility+getAppTheme() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+forceShowActionBarOverflowMenu() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+forceShowActionBarOverflowMenu() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initDefaultAvatar() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initDefaultAvatar() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initDefaultPic() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initDefaultPic() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initPicBgBorder() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initPicBgBorder() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initErrorPic() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initErrorPic() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initNFC() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+initNFC(),org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+theme org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+theme org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+theme,648,19,4,,"@Override
    protected void onCreate(Bundle savedInstanceState) {
        if (savedInstanceState == null) {
            theme = SettingUtility.getAppTheme();
        } else {
            theme = savedInstanceState.getInt(""theme"");
        }
        setTheme(theme);
        super.onCreate(savedInstanceState);
        if (getResources().getBoolean(R.bool.is_phone)) {
            setRequestedOrientation(ActivityInfo.SCREEN_ORIENTATION_PORTRAIT);
        }
        forceShowActionBarOverflowMenu();
        initDefaultAvatar();
        initDefaultPic();
        initPicBgBorder();
        initErrorPic();
        initNFC();
    }",False
20,initDefaultAvatar(),Method,onCreate(Bundle),,,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+defaultAvatar,191,5,2,,"private void initDefaultAvatar() {
        int[] attrs = new int[]{R.attr.account};
        TypedArray ta = obtainStyledAttributes(attrs);
        defaultAvatar = ta.getDrawable(0);
    }",True
21,initDefaultPic(),Method,onCreate(Bundle),,,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+defaultPic,185,5,2,,"private void initDefaultPic() {
        int[] attrs = new int[]{R.attr.picture};
        TypedArray ta = obtainStyledAttributes(attrs);
        defaultPic = ta.getDrawable(0);
    }",True
22,initErrorPic(),Method,onCreate(Bundle),,,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+errorPic,179,5,2,,"private void initErrorPic() {
        int[] attrs = new int[]{R.attr.error};
        TypedArray ta = obtainStyledAttributes(attrs);
        errorPic = ta.getDrawable(0);
    }",True
23,initPicBgBorder(),Method,onCreate(Bundle),,,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+picBgBorder,202,5,2,,"private void initPicBgBorder() {
        int[] attrs = new int[]{R.attr.listview_pic_bg_border};
        TypedArray ta = obtainStyledAttributes(attrs);
        picBgBorder = ta.getDrawable(0);
    }",True
24,forceShowActionBarOverflowMenu(),Method,onCreate(Bundle),,"java.lang.Class+getDeclaredField(String) java.lang.Class+getDeclaredField(String) java.lang.reflect.Field+setAccessible(boolean) java.lang.reflect.Field+setAccessible(boolean) java.lang.reflect.Field+setBoolean(Object,boolean) java.lang.reflect.Field+setBoolean(Object,boolean)",,454,12,2,,"private void forceShowActionBarOverflowMenu() {
        try {
            ViewConfiguration config = ViewConfiguration.get(this);
            Field menuKeyField = ViewConfiguration.class.getDeclaredField(""sHasPermanentMenuKey"");
            if (menuKeyField != null) {
                menuKeyField.setAccessible(true);
                menuKeyField.setBoolean(config, false);
            }
        } catch (Exception ignored) {

        }
    }",False
25,onDestroy(),Method,,,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+totalStopLoadPicture() org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+totalStopLoadPicture(),org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+defaultAvatar org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+defaultPic,172,8,4,,"@Override
    protected void onDestroy() {
        super.onDestroy();
        totalStopLoadPicture();

        defaultAvatar = null;
        defaultPic = null;
    }",False
26,totalStopLoadPicture(),Method,onDestroy(),,java.util.Map+keySet() java.util.Map+keySet() org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean) java.util.Map+get(Object) java.util.Map+get(Object) org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean) java.util.Map+keySet() java.util.Map+keySet() org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean) java.util.Map+get(Object) java.util.Map+get(Object) org.qii.weiciyuan.support.lib.MyAsyncTask+cancel(boolean),org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap,586,14,4,,"protected void totalStopLoadPicture() {
        if (avatarBitmapWorkerTaskHashMap != null) {
            for (String task : avatarBitmapWorkerTaskHashMap.keySet()) {
                avatarBitmapWorkerTaskHashMap.get(task).cancel(true);
            }
            avatarBitmapWorkerTaskHashMap = null;
        }
        if (pictureBitmapWorkerTaskMap != null) {
            for (String task : pictureBitmapWorkerTaskMap.keySet()) {
                pictureBitmapWorkerTaskMap.get(task).cancel(true);
            }
            pictureBitmapWorkerTaskMap = null;
        }
    }",True
27,initNFC(),Method,onCreate(Bundle),,+createNdefMessage(NfcEvent),,791,20,2,,"private void initNFC() {
        NfcAdapter mNfcAdapter = NfcAdapter.getDefaultAdapter(this);
        if (mNfcAdapter == null) {
            return;
        }

        mNfcAdapter.setNdefPushMessageCallback(new NfcAdapter.CreateNdefMessageCallback() {
            @Override
            public NdefMessage createNdefMessage(NfcEvent event) {
                String text = (GlobalContext.getInstance().getCurrentAccountName());

                NdefMessage msg = new NdefMessage(
                        new NdefRecord[]{createMimeRecord(
                                ""application/org.qii.weiciyuan.beam"", text.getBytes()), NdefRecord.createApplicationRecord(getPackageName())
                        });
                return msg;
            }
        }, this);

    }",False
28,"createMimeRecord(String,byte[])",Method,,,java.lang.String+getBytes(Charset) java.lang.String+getBytes(Charset) java.nio.charset.Charset+forName(String) java.nio.charset.Charset+forName(String) java.lang.Object+Object(),,308,6,2,,"private NdefRecord createMimeRecord(String mimeType, byte[] payload) {
        byte[] mimeBytes = mimeType.getBytes(Charset.forName(""US-ASCII""));
        NdefRecord mimeRecord = new NdefRecord(
                NdefRecord.TNF_MIME_MEDIA, mimeBytes, new byte[0], payload);
        return mimeRecord;
    }",False
29,reload(),Method,onResume(),,,,268,10,2,,"private void reload() {

        Intent intent = getIntent();
        overridePendingTransition(0, 0);
        intent.addFlags(Intent.FLAG_ACTIVITY_NO_ANIMATION);
        finish();

        overridePendingTransition(0, 0);
        startActivity(intent);
    }",False
30,getBitmapFromMemCache(String),Method,"PicCommander.downloadAvatar(ImageView,String,int,ListView,boolean) PicCommander.downContentPic(ImageView,String,int,ListView,FileLocationMethod,boolean)",,org.qii.weiciyuan.support.utils.GlobalContext+getAvatarCache() org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+getInstance() org.qii.weiciyuan.support.utils.GlobalContext+getAvatarCache(),,130,3,4,,"protected Bitmap getBitmapFromMemCache(String key) {
        return GlobalContext.getInstance().getAvatarCache().get(key);
    }",True
31,getPictureBitmapWorkerTaskMap(),Method,,org.qii.weiciyuan.ui.basefragment.AbstractTimeLineFragment+refresh(),,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+pictureBitmapWorkerTaskMap,128,3,1,,"public Map<String, PictureBitmapWorkerTask> getPictureBitmapWorkerTaskMap() {
        return pictureBitmapWorkerTaskMap;
    }",True
32,getAvatarBitmapWorkerTaskHashMap(),Method,,org.qii.weiciyuan.ui.basefragment.AbstractTimeLineFragment+refresh() org.qii.weiciyuan.ui.basefragment.AbstractUserListFragment+refresh(),,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+avatarBitmapWorkerTaskHashMap,133,3,1,,"public Map<String, AvatarBitmapWorkerTask> getAvatarBitmapWorkerTaskHashMap() {
        return avatarBitmapWorkerTaskHashMap;
    }",True
33,getCommander(),Method,,org.qii.weiciyuan.ui.basefragment.AbstractFriendsFanListFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.basefragment.AbstractMessageTimeLineFragment+buildListAdapter() org.qii.weiciyuan.ui.basefragment.AbstractTimeLineFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.browser.CommentsByIdTimeLineFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.browser.CommentsByIdTimeLineFragment+buildListAdapter() org.qii.weiciyuan.ui.browser.RepostsByIdTimeLineFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.browser.RepostsByIdTimeLineFragment+buildListAdapter() org.qii.weiciyuan.ui.dm.DMConversationListFragment+buildListAdapter() org.qii.weiciyuan.ui.dm.DMUserListFragment+buildListAdapter() org.qii.weiciyuan.ui.maintimeline.CommentsTimeLineFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.maintimeline.CommentsTimeLineFragment+buildListAdapter() org.qii.weiciyuan.ui.maintimeline.MyStatussTimeLineFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.search.SearchStatusFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.search.SearchUserFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.userinfo.MyFavListFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.userinfo.MyInfoFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.userinfo.StatusesByIdTimeLineFragment+onActivityCreated(Bundle) org.qii.weiciyuan.ui.userinfo.UserInfoFragment+onActivityCreated(Bundle),,org.qii.weiciyuan.ui.interfaces.AbstractAppActivity+commander,68,3,1,,"public ICommander getCommander() {
        return commander;
    }",False
34,dealWithException(WeiboException),Method,,,org.qii.weiciyuan.support.error.WeiboException+getError() org.qii.weiciyuan.support.error.WeiboException+getError(),,131,3,4,,"protected void dealWithException(WeiboException e) {
        Toast.makeText(this, e.getError(), Toast.LENGTH_SHORT).show();
    }",False
